,Current,New
Futures,1%,3%
QAN,5%,20%
SCG,5%,10%
SGP,5%,10%
MGR,5%,10%
ALL,5%,10%
BSL,5%,10%
GMG,5%,10%
BLD,5%,10%
CWY,5%,10%
SUN,5%,10%
QUB,5%,10%
BEN,5%,10%
AST,5%,10%
APT,10%,30%
FLT,10%,50%
CGF,10%,30%
IFL,10%,20%
JBH,10%,15%
MND,10%,30%
SCP,10%,20%
EHE,10%,50%
WSA,10%,20%
OZL,10%,15%
WEB,15%,30%
NSR,15%,30%
MLD,15%,50%
MMS,15%,30%
SKT,15%,100%
FNP,15%,30%
REG,15%,70%
GWA,15%,20%
JHC,15%,50%
TRS,15%,70%
VRT,15%,50%
NIB,15%,20%
SIQ,15%,30%
PPH,15%,20%
CQE,15%,30%
GNC,15%,30%
SFR,15%,30%
API,15%,30%
FXL,20%,50%
IEL,20%,30%
EHL,20%,60%
EML,20%,40%
VEA,20%,30%
BIN,20%,30%
MAH,20%,40%
JMS,20%,50%
LNG,20%,100%
HUB,20%,30%
DJW,20%,50%
AAC,20%,40%
TGR,20%,30%
CKF,25%,40%
ARQ,25%,100%
AD8,25%,50%
VTG,25%,70%
OML,25%,100%
RIC,25%,50%
BWX,25%,50%
PIA,25%,70%
ALF,25%,50%
CTD,30%,50%
CST,30%,100%
NXS,30%,70%
BSE,30%,70%
CDD,30%,50%
CL1,30%,70%
RHP,30%,60%
ELS,30%,100%
Z1P,30%,50%
NEA,30%,50%
A2B,30%,100%
AIZ,35%,50%
HPI,35%,70%
SRV,35%,50%
INR,35%,70%
SPL,35%,50%
EXL,40%,100%
ADH,40%,100%
BTH,40%,100%
SMN,40%,100%
VRL,40%,70%
SIV,40%,100%
PIC,40%,70%
RDV,40%,70%
MVF,45%,70%
AGY,50%,70%
OVH,50%,100%
WSP,50%,70%
AGH,50%,100%
NMT,50%,70%
PPE,50%,70%
ISU,50%,70%
FLN,50%,70%
MML,50%,70%
5GN,50%,10%
MOC,50%,70%
PEN,50%,100%
SLC,50%,70%
CDP,50%,70%
CGL,60%,100%
VOR,60%,100%
AU8,60%,100%
WAX,60%,70%
RFX,65%,100%
ATL,70%,100%
NUH,70%,100%
A3D,70%,100%
RZI,70%,100%
GRB,70%,100%
OCC,70%,100%
PSC,70%,100%
S2R,70%,100%
TAP,70%,100%
CGS,70%,100%
NET,70%,100%
LOM,70%,100%
RKN,70%,100%
GTK,70%,100%
ANG,70%,100%
SHM,70%,100%
TPP,70%,100%
AHF,70%,100%
TNK,70%,100%
OEL,75%,100%
PRT,75%,100%
MCE,80%,100%
ACF,80%,100%
MTO,80%,100%
SYA,80%,100%
FRM,80%,100%
PGC,80%,100%
TNY,80%,100%
BD1,80%,100%
HAV,80%,100%
STG,85%,100%
RML,85%,100%
NNW,85%,100%
TOE,85%,100%
SHE,85%,100%
SGI,85%,100%
88E,85%,100%
NAG,90%,100%
,,
